S.NO,Degree,Domain,Skill1,Skill2,Skill3,Certification,JobRole,Experience,Age,Location,Education_Level,University_Tier
1,B.Com,Finance,PowerBI,Financial Modeling,Leadership,CFA,Financial Analyst,3,22,Australia,Bachelor,Tier 2
4,B.Des,Design,Figma,UI/UX,Communication,,UI/UX Designer,0,25,USA,Master,Tier 3
6,MBA,Finance,Financial Modeling,Data Analysis,Excel,,Financial Analyst,0,22,Australia,Bachelor,Tier 2
11,MBA,Data Science,PowerBI,Data Analysis,Research,,Data Analyst,7,28,India,Master,Tier 3
14,B.Com,Marketing,Excel,Marketing,Communication,,Marketing Specialist,2,26,Australia,Bachelor,Tier 3
16,MBA,Sales,CRM,Negotiation,Communication,,Sales Manager,7,29,Remote,Master,Tier 1
18,MBA,Business,CRM,Negotiation,Data Analysis,,Business Development Manager,10,29,Australia,Bachelor,Tier 3
20,B.Tech,Civil,Surveying,Excel,Research,,Civil Engineer,8,31,Canada,Bachelor,Tier 2
21,MBA,Business,Excel,CRM,Communication,,Business Development Manager,4,27,Germany,Diploma,Tier 1
23,B.Tech,Electrical,TCP/IP,Networking,Data Analysis,CCNA,Network Engineer,2,25,Germany,Bachelor,Tier 2
25,MBA,Design,UI/UX,Graphic Design,Project Management,,UI/UX Designer,3,27,Canada,Master,Tier 3
27,Ph.D,Data Science,SQL,Machine Learning,Data Analysis,Google Cloud,Machine Learning Engineer,8,33,Remote,Bachelor,Tier 3
28,B.Tech,Civil,Project Management,Design,Data Analysis,,Civil Engineer,9,33,Canada,Bachelor,Tier 2
30,M.Tech,Electrical,MATLAB,PLC,Excel,,Electrical Engineer,11,30,USA,Diploma,Tier 3
32,B.Com,Data Science,Python,SQL,Data Analysis,Google Cloud,Data Analyst,4,24,Australia,Bachelor,Tier 2
34,B.Des,Design,Prototyping,UI/UX,Data Analysis,,UI/UX Designer,6,28,Germany,PhD,Tier 2
35,M.Tech,Civil,Surveying,Construction,HTML/CSS,,Civil Engineer,14,36,Germany,Bachelor,Tier 2
37,BBA,Marketing,SEO,Social Media,HTML/CSS,Google Cloud,Marketing Specialist,0,21,Australia,Master,Tier 2
41,MBA,Media,Content Strategy,Communication,SQL,,Content Writer,3,22,Australia,Bachelor,Tier 2
43,B.Tech,Mechanical,CAD,Thermodynamics,Excel,,Mechanical Engineer,3,22,Germany,Master,Tier 3
44,M.Tech,Data Science,Statistics,Machine Learning,Excel,AWS,Data Scientist,3,23,USA,Bachelor,Tier 2
52,B.Tech,Civil,Construction,Project Management,Leadership,,Civil Engineer,1,26,UK,Diploma,Tier 2
54,M.Tech,Civil,Project Management,Construction,Research,,Civil Engineer,2,27,Remote,Bachelor,Tier 1
56,B.Tech,Operations,Excel,Supply Chain,HTML/CSS,,Supply Chain Manager,10,30,USA,Master,Tier 2
57,B.Com,Business,Excel,UML,Leadership,,Business Analyst,8,31,USA,Master,Tier 2
59,B.Com,Data Science,Python,PowerBI,SQL,,Data Analyst,3,22,Canada,Bachelor,Tier 2
63,BBA,Sales,Negotiation,Excel,Python,,Sales Manager,4,25,UK,Master,Tier 3
66,M.Tech,Civil,Surveying,Construction,Excel,,Civil Engineer,0,23,Remote,Bachelor,Tier 3
67,B.Tech,Data Science,PowerBI,SQL,Python,,Data Analyst,5,30,Canada,Master,Tier 2
68,MBA,Business,Sales,Excel,Research,,Business Development Manager,3,22,Australia,PhD,Tier 2
70,MBA,Business,UML,Excel,Data Analysis,PMP,Business Analyst,9,30,Remote,PhD,Tier 1
71,MBA,Media,Writing,Content Strategy,Communication,,Content Writer,11,29,Australia,Bachelor,Tier 1
